Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
KREMEN2	"KRM2, MGC10791"	ENSG00000131650	"Kringle containing transmembrane protein 2"	Q8NCW0	16	2964216-2968383	"Predicted intracellular proteins, Predicted membrane proteins"	"Wnt signaling pathway"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"retina: 3.9;skin 1: 7.4"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 8.7;Basal squamous epithelial cells: 10.6;Cone photoreceptor cells: 10.2;Intestinal goblet cells: 15.9;Rod photoreceptor cells: 12.1;Spermatocytes: 14.8;Spermatogonia: 11.4"	"Cell type enriched"	"Detected in some"	9	"hippocampal CA4: 13.4"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Immune cell enhanced"	"Detected in some"		"memory B-cell: 1.2;naive B-cell: 1.3"	"Lineage enhanced"	"Detected in single"		"B-cells: 1.3"	"Cancer enhanced"	"Detected in many"		"Rhabdoid: 38.8"	"Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"			HPA003223	Uncertain				"Intracellular and membrane"	Other	NA	NA				"Cluster 13: Skin - Cornification"	"Cluster 51: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 16: Intestinal goblet cells - Mucin production"				"HPA003223: AB_1079217"	"unprognostic (1.15e-1)"	"unprognostic (7.07e-2)"	"unprognostic (3.12e-1)"	"unprognostic (2.73e-1)"	"unprognostic (6.80e-3)"	"unprognostic (3.07e-1)"	"unprognostic (7.65e-2)"		"unprognostic (1.38e-1)"							"potential prognostic unfavorable (1.29e-4)"		"unprognostic (3.79e-2)"	"unprognostic (1.60e-1)"	"unprognostic (1.54e-1)"	"unprognostic (5.65e-2)"	"unprognostic (1.44e-1)"		"unprognostic (7.79e-2)"	"unprognostic (1.94e-1)"	"unprognostic (1.31e-1)"	"unprognostic (3.55e-2)"	"unprognostic (6.98e-2)"	"unprognostic (3.43e-1)"		"unprognostic (3.31e-2)"
KRT222	"KA21, KRT222P, MGC45562"	ENSG00000213424	"Keratin 222"	Q8N1A0	17	40654665-40665181	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 11.5;retina: 7.8"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 45.0;Excitatory neurons: 25.0;Horizontal cells: 17.0;Inhibitory neurons: 23.4;Muller glia cells: 38.4"	"Cell type enhanced"	"Detected in some"		"cerebellar inhibitory: 3.1"	"Cancer enhanced"	"Detected in single"		"Kidney Renal Papillary Cell Carcinoma (TCGA): 1.5"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Rhabdoid: 2.3"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA054586, HPA068724, HPA069774"	Enhanced		Approved	"Vesicles,Lipid droplets"			NA	NA				"Cluster 17: Neuronal - Synaptic function"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 25: Bipolar cells - Visual perception"	9	"Vesicles, Lipid droplets"		"HPA054586: AB_2682532, HPA068724: , HPA069774: AB_2686195"			"unprognostic (4.64e-2)"					"unprognostic (4.12e-1)"					"unprognostic (2.49e-3)"		"unprognostic (9.02e-2)"																
KRT31	"Ha-1, KRTHA1"	ENSG00000094796	"Keratin 31"	Q15323	17	41393721-41397608	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"skin 1: 275.4"	"Group enriched"	"Detected in some"	6	"Basal keratinocytes: 32.4;Basal squamous epithelial cells: 18.4;Glandular and luminal cells: 11.6;Oocytes: 12.5;Squamous epithelial cells: 16.7;Suprabasal keratinocytes: 19.2"	"Group enriched"	"Detected in some"	5	"thalamic excitatory: 7.3;upper rhombic lip: 17.1"	"Cancer enriched"	"Detected in single"	8	"Lung Squamous Cell Carcinoma (TCGA): 6.9"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Skeletal muscle - Skeletal myocytes"									"HPA049550, HPA055194"	Enhanced		Approved	"Cytosol,Equatorial segment,Mid piece,Principal piece,End piece"			NA	NA		260000000		"Cluster 13: Skin - Cornification"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 12: Squamous epithelial cells - Keratinization"	320	"Cytosol, Principal piece, End piece"	"Equatorial segment, Mid piece"	"HPA049550: AB_2680813, HPA055194: AB_2682733"			"unprognostic (1.38e-2)"															"unprognostic (2.73e-1)"													
KRT81	"Hb-1, KRTHB1"	ENSG00000205426	"Keratin 81"	Q14533	12	52285913-52291534	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	46	"skin 1: 140.1"	"Group enriched"	"Detected in some"	5	"Breast glandular cells: 39.7;Pancreatic endocrine cells: 101.9"					"Group enriched"	"Detected in many"	4	"Breast Invasive Carcinoma (TCGA): 68.9;Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA): 76.7;Lung Adenocarcinoma (TCGA): 20.0"	"Low region specificity"	"Detected in single"			"Immune cell enriched"	"Detected in some"	49	"basophil: 171.6"	"Lineage enriched"	"Detected in many"	49	"granulocytes: 171.6"	"Cancer enhanced"	"Detected in many"		"breast cancer: 443.2"										HPA049778	Supported						NA	NA		87000000	"Cluster 46: Basophils - Proteolysis"	"Cluster 82: Skin - Keratinization"	"Cluster 1: Neurons - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 45: Non-specific - Mixed function"	28			"HPA049778: AB_2680877"	"unprognostic (3.76e-2)"	"unprognostic (5.60e-3)"	"unprognostic (5.26e-2)"	"unprognostic (4.84e-2)"					"unprognostic (1.11e-1)"							"potential prognostic unfavorable (3.37e-4)"	"unprognostic (7.90e-2)"	"unprognostic (4.43e-1)"		"unprognostic (1.74e-2)"	"unprognostic (2.30e-1)"	"unprognostic (8.52e-2)"	"unprognostic (8.57e-3)"					"unprognostic (7.64e-2)"		"unprognostic (7.74e-2)"	"unprognostic (1.03e-1)"
KRT83	"Hb-3, KRTHB3"	ENSG00000170523	"Keratin 83"	P78385	12	52314301-52321398	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Disease variant, Palmoplantar keratoderma"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	33	"skin 1: 64.7"	"Cell type enhanced"	"Detected in single"		"Mucus glandular cells: 1.2"	"Cell type enhanced"	"Detected in single"		"oligodendrocyte: 1.2"	"Cancer enhanced"	"Detected in some"		"Thyroid Carcinoma (TCGA): 3.4"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"breast cancer: 1.7"										HPA049778	Supported						NA	NA		90000000		"Cluster 82: Skin - Keratinization"	"Cluster 30: White matter - Myelination"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 75: Serous glandular cells - Salivary secretion"	33			"HPA049778: AB_2680877"																														"unprognostic (4.29e-2)"	"unprognostic (4.43e-3)"
KRT86	"Hb6, KRTHB6, MNX"	ENSG00000170442	"Keratin 86"	O43790	12	52249300-52309163	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	36	"skin 1: 145.7"	"Group enriched"	"Detected in some"	5	"Early spermatids: 45.8;Late spermatids: 21.7;NK-cells: 38.9;T-cells: 18.3"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in some"	9	"basophil: 87.8"	"Lineage enriched"	"Detected in many"	9	"granulocytes: 87.8"	"Group enriched"	"Detected in many"	5	"breast cancer: 101.1;pancreatic cancer: 27.5"	"Pancreas - Ductal cells, Skin - Hair cortex cells, Testis - Early spermatids, Testis - Late spermatids"									"HPA039798, HPA049778"	Supported		Approved	Cytosol			NA	NA		100000000	"Cluster 41: Basophils - Unknown function"	"Cluster 82: Skin - Keratinization"	"Cluster 14: Neurons - Synaptic function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"	38	Cytosol		"HPA039798: AB_10674986, HPA049778: AB_2680877"	"unprognostic (9.43e-2)"	"unprognostic (2.38e-2)"	"unprognostic (1.62e-1)"	"unprognostic (2.18e-1)"		"unprognostic (4.93e-2)"			"unprognostic (6.45e-2)"		"unprognostic (7.90e-2)"	"unprognostic (1.38e-1)"	"unprognostic (1.18e-2)"	"unprognostic (8.49e-2)"		"unprognostic (6.28e-3)"	"unprognostic (1.74e-1)"	"unprognostic (1.28e-1)"		"unprognostic (1.85e-2)"	"unprognostic (2.53e-1)"	"unprognostic (1.17e-2)"								"unprognostic (7.22e-2)"	"unprognostic (2.97e-1)"
KRTAP5-1	"KRN1L, KRTAP5.1"	ENSG00000205869	"Keratin associated protein 5-1"	Q6L8H4	11	1584342-1585283	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 11.7;pituitary gland: 4.5"	"Cell type enriched"	"Detected in single"	15	"Bipolar cells: 1.9"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Neuroblastoma: 1.3"																	NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 15: Non-specific - Transcription"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	9									"unprognostic (1.86e-1)"																				"unprognostic (5.36e-2)"					
KRTAP5-2	"KRTAP5-8, KRTAP5.2"	ENSG00000205867	"Keratin associated protein 5-2"	Q701N4	11	1597177-1598294	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 3.2;skin 1: 8.7"	"Cell type enhanced"	"Detected in some"		"Horizontal cells: 1.3;Mucus glandular cells: 1.9"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Kidney Chromophobe (TCGA): 2.4"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"breast cancer: 1.4"																	NA	NA				"Cluster 13: Skin - Cornification"	"Cluster 37: Neurons - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 7: T-cells - T-cell receptor"	38									"unprognostic (5.80e-2)"				"unprognostic (2.60e-1)"																"unprognostic (9.79e-2)"					"unprognostic (9.32e-3)"
KRTAP5-9	"KRN1, KRTAP5-1, KRTAP5.9"	ENSG00000254997	"Keratin associated protein 5-9"	P26371	11	71548420-71549608	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"testis: 3.1"	"Group enriched"	"Detected in some"	6	"Collecting duct cells: 1.9;Early spermatids: 3.5;Late spermatids: 6.0"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bladder Urothelial Carcinoma (TCGA): 2.4"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"					"Low region specificity"	"Detected in many"										NA	NA				"Cluster 63: Testis - Spermatid development"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 36: Late spermatids - Unknown function"	170				"unprognostic (2.01e-1)"									"unprognostic (1.22e-1)"																					
KSR2	FLJ25965	ENSG00000171435	"Kinase suppressor of ras 2"	Q6VAB6	12	117453012-117968990	"Enzymes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 5.6;pituitary gland: 7.7"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 52.1;Collecting duct cells: 149.8;Excitatory neurons: 275.2;Inhibitory neurons: 225.3;Oligodendrocyte precursor cells: 89.1"	"Low cell type specificity"	"Detected in all"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in single"			"Adrenal gland - Adrenal medulla cells, Colon - Colon enteroendocrine cells, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary gland ductal cells, Pituitary gland - Lactotropes, Testis - Early spermatids, Testis - Late spermatids, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA035536	Enhanced						NA	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 51: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 8: Neurons - Neuronal signaling"	18			"HPA035536: AB_10673485"			"unprognostic (1.30e-1)"			"unprognostic (9.35e-2)"		"unprognostic (3.41e-3)"																		"unprognostic (1.24e-3)"					
LAIR2	"CD306, LAIR-2"	ENSG00000167618	"Leukocyte associated immunoglobulin like receptor 2"	Q6ISS4	19	54497879-54510687	"CD markers, Predicted intracellular proteins, Predicted secreted proteins"		Receptor		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"lymphoid tissue: 1.6;pituitary gland: 2.5"	"Cell type enriched"	"Detected in some"	7	"Extravillous trophoblasts: 882.9"	"Cell type enhanced"	"Detected in some"		"central nervous system macrophage: 1.6;leukocyte: 5.8"	"Low cancer specificity"	"Detected in some"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	9	"gdT-cell: 14.0;memory CD4 T-cell: 13.8;memory CD8 T-cell: 19.6;naive CD8 T-cell: 13.3;T-reg: 49.6"	"Lineage enriched"	"Detected in many"	40	"T-cells: 49.6"	"Cancer enhanced"	"Detected in single"		"Rhabdoid: 1.4"	"Thyroid gland - T-cells"														"Secreted to blood"	Receptor	NA	NA			"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"		"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 4: Extravillous trophoblasts - Unknown function"	5						"unprognostic (1.15e-1)"	"unprognostic (6.90e-3)"	"unprognostic (2.08e-1)"	"unprognostic (1.64e-1)"										"unprognostic (8.77e-3)"	"unprognostic (1.82e-1)"					"unprognostic (1.81e-1)"	"unprognostic (1.57e-1)"					"unprognostic (2.30e-3)"			
LAMA1	LAMA	ENSG00000101680	"Laminin subunit alpha 1"	P25391	18	6941742-7117797	"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"ovary: 3.2;testis: 5.7"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 86.1;Distal enterocytes: 151.5;Granulosa cells: 27.5;Intestinal goblet cells: 43.2;Paneth cells: 38.4;Proximal enterocytes: 44.4"	"Cell type enhanced"	"Detected in many"		"astrocyte: 293.5;ependymal cell: 223.9"	"Cancer enhanced"	"Detected in many"		"Skin Cuteneous Melanoma (TCGA): 10.4"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"skin cancer: 34.9"	"Skin - Eccrine sweat gland cells, Spleen - Fibroblast_1, Testis - Sertoli cells"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			CAB010179	Enhanced				"Secreted to extracellular matrix"	"Cell adhesion"	NA	NA				"Cluster 74: Spermatids - Flagellum assembly"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 5: Enterocytes - Absorption"	2			"CAB010179: AB_2133741"			"unprognostic (1.11e-1)"				"unprognostic (2.50e-2)"	"unprognostic (2.56e-2)"	"unprognostic (1.65e-2)"	"unprognostic (3.24e-2)"	"unprognostic (4.47e-3)"	"unprognostic (8.27e-3)"	"unprognostic (7.11e-2)"					"unprognostic (7.17e-2)"	"unprognostic (1.69e-1)"	"unprognostic (1.67e-2)"	"unprognostic (3.26e-1)"		"unprognostic (1.56e-3)"				"unprognostic (3.00e-1)"	"unprognostic (9.25e-2)"	"unprognostic (2.63e-1)"	"unprognostic (4.66e-2)"	"unprognostic (1.16e-1)"
LBHD2		ENSG00000283071	"LBH domain containing 2"	A0A0U1RRK4	14	103084210-103090027	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 9.6;testis: 2.9"	"Cell type enhanced"	"Detected in some"		"Endometrial stromal cells: 1.4;Late spermatids: 6.3;Mesothelial cells: 1.4;Oocytes: 2.2;Proximal tubular cells: 1.2;Spermatogonia: 2.6"	"Group enriched"	"Detected in some"	4	"hippocampal CA4: 6.9;lower rhombic lip: 5.5;splatter: 2.0;thalamic excitatory: 2.4"	"Low cancer specificity"	"Detected in many"			"Region enhanced"	"Detected in many"		"hypothalamus: 22.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"																			NA	NA				"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 24: Neurons - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 63: Late spermatids - Spermatogenesis"					"unprognostic (4.18e-3)"			"unprognostic (9.22e-2)"					"unprognostic (4.45e-2)"		"unprognostic (2.48e-2)"	"unprognostic (6.29e-2)"	"unprognostic (1.13e-1)"							"unprognostic (1.51e-2)"											"unprognostic (1.41e-1)"
LBX1	"HPX6, LBX1H"	ENSG00000138136	"Ladybird homeobox 1"	P52954	10	101226994-101229463	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Myogenesis, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	15	"skeletal muscle: 24.4"	"Cell type enriched"	"Detected in single"	18	"Skeletal myocytes: 2.9"	"Cell type enriched"	"Detected in some"	10	"cerebellar inhibitory: 13.8"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	5	"cerebellum: 4.4;medulla oblongata: 8.1;pons: 6.0;spinal cord: 10.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bone cancer: 5.0"		"Group enriched"	"Detected in some"	24	"cerebellum: 1.6;pons and medulla: 3.0"	"Group enriched"	"Detected in some"	23	"cerebellum: 1.6;medulla oblongata: 2.6;spinal cord: 2.7"	"HPA002016, HPA002086, CAB079927"	Uncertain		Approved	"Nucleoplasm,Nucleoli,Nuclear bodies,Cytosol"			NA	NA				"Cluster 2: Skeletal muscle - Striated muscle contraction"	"Cluster 43: Hindbrain - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 2: Skeletal myocytes - Muscle contraction"	20	Nucleoplasm	"Nucleoli, Nuclear bodies, Cytosol"	"CAB079927: , HPA002016: AB_2666518, HPA002086: AB_1079242"																															
LCN1	"MGC71975, PMFA, TLC, TP, VEGP"	ENSG00000160349	"Lipocalin 1"	P31025	9	135521438-135526540	"Cancer-related genes, Plasma proteins, Predicted secreted proteins"	"Sensory transduction, Taste, Transport"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"esophagus: 12.5;seminal vesicle: 7.7"	"Group enriched"	"Detected in some"	6	"Paneth cells: 1.2;Secretory cells: 4.4"	"Cell type enhanced"	"Detected in some"		"hippocampal CA4: 2.7;pericyte: 2.2"	"Cancer enhanced"	"Detected in some"		"Ovary Serous Cystadenocarcinoma (TCGA): 3.9;Pancreatic Adenocarcinoma (TCGA): 2.2"	"Region enhanced"	"Detected in single"		"hippocampal formation: 1.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"thyroid cancer: 1.6"						"Not detected"	"Not detected"								"Secreted in other tissues"	Transport	NA	NA		4400000		"Cluster 29: Squamous epithelium - Innate immune response"	"Cluster 29: Forebrain - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 37: Glandular & Luminal cells - Unknown function"	30												"potential prognostic unfavorable (7.60e-4)"											"unprognostic (2.13e-2)"		"unprognostic (8.60e-2)"									
LCN15	"PRO6093, UNQ2541"	ENSG00000177984	"Lipocalin 15"	Q6UWW0	9	136759634-136766255	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"intestine: 11.5;seminal vesicle: 3.2"	"Cell type enriched"	"Detected in some"	226	"Enteroendocrine cells: 1649.4"	"Cell type enhanced"	"Detected in some"		"deep-layer intratelencephalic: 3.0;hippocampal CA4: 2.7;upper-layer intratelencephalic: 4.4"	"Group enriched"	"Detected in many"	15	"Colon Adenocarcinoma (TCGA): 87.9;Rectum Adenocarcinoma (TCGA): 134.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	9	"colorectal cancer: 15.7;liver cancer: 19.1;lung cancer: 5.9"						"Low region specificity"	"Detected in all"			HPA060584	Enhanced				"Secreted in other tissues"	"No annotated function"	NA	NA				"Cluster 25: Small intestine - Absorption"		"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 20: Enteroendocrine cells - Hormone signaling"				"HPA060584: AB_2684327"					"unprognostic (1.92e-1)"	"potential prognostic favorable (6.68e-4)"																			"unprognostic (4.52e-2)"	"unprognostic (5.08e-2)"		"unprognostic (5.90e-1)"	"unprognostic (3.32e-1)"		"unprognostic (4.19e-1)"
