Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
GABRA6		ENSG00000145863	"Gamma-aminobutyric acid type A receptor subunit alpha6"	Q16445	5	161547063-161702593	"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Ion transport, Transport"	"Chloride channel, Ion channel, Ligand-gated ion channel, Receptor"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	281	"brain: 203.5"	"Cell type enhanced"	"Detected in single"		"Cone photoreceptor cells: 1.7"	"Cell type enhanced"	"Detected in many"		"upper rhombic lip: 194.6"	"Not detected"	"Not detected"			"Region enriched"	"Detected in many"	14	"cerebellum: 150.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Sertoli cells"	"Region enriched"	"Detected in some"	40	"cerebellum: 1073.9"	"Region enriched"	"Detected in some"	39	"cerebellum: 263.8"	CAB022462	Approved						NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 35: Non-specific - DNA binding"	"Cluster 1: Neuronal - Visual perception"	"Cluster 65: Neurons - Synaptic function"				"CAB022462: "																															
GBX2		ENSG00000168505	"Gastrulation brain homeobox 2"	P52951	2	236165236-236168386	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	11	"brain: 2.7"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 1.1;Late spermatids: 2.1;Oocytes: 1.5;Pancreatic endocrine cells: 1.7"	"Cell type enhanced"	"Detected in some"		"bergmann glia: 5.9;ependymal cell: 3.6;thalamic excitatory: 13.9"	"Group enriched"	"Detected in some"	8	"Glioblastoma Multiforme (TCGA): 2.7;Testicular Germ Cell Tumor (TCGA): 10.6"	"Region enhanced"	"Detected in many"		"thalamus: 31.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Adrenocortical cancer: 11.1"		"Region enhanced"	"Detected in single"		"thalamus: 1.3"	"Group enriched"	"Detected in some"	4	"midbrain: 3.3;pons: 3.5;thalamus: 8.2"	HPA067809			Approved	Nucleoplasm			Yes	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 13: Spermatids - Transcription"		Nucleoplasm		"HPA067809: AB_2685900"							"unprognostic (9.29e-3)"	"unprognostic (1.21e-2)"																					"unprognostic (3.79e-2)"		
GPR101		ENSG00000165370	"G protein-coupled receptor 101"	Q96P66	X	137023929-137033995	"Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	51	"brain: 5.1"	"Cell type enriched"	"Detected in single"	4	"Plasma cells: 2.3"	"Group enriched"	"Detected in some"	9	"eccentric medium spiny neuron: 10.1;medium spiny neuron: 21.4;splatter: 6.2;thalamic excitatory: 5.7"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	6	"basal ganglia: 26.4;hypothalamus: 30.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Region enhanced"	"Detected in many"		"hypothalamus: 38.3"	"Low region specificity"	"Detected in many"			HPA001084	Uncertain						NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 77: Plasma cells - Protein processing"	16			"HPA001084: AB_1078920"																															
GPR21		ENSG00000188394	"G protein-coupled receptor 21"	Q99679	9	123033667-123035665	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in single"		"brain: 1.6"	"Cell type enhanced"	"Detected in single"		"Smooth muscle cells: 1.4"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Low region specificity"	"Detected in many"							HPA041651	Uncertain						NA	NA				"Cluster 64: Neuronal - Transcription"	"Cluster 53: Neurons - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 48: Smooth muscle cells - Signal transduction"				"HPA041651: AB_10794673"			"unprognostic (3.54e-2)"			"unprognostic (8.45e-2)"		"unprognostic (1.83e-3)"															"unprognostic (1.53e-1)"			"unprognostic (8.59e-2)"					
GPR26		ENSG00000154478	"G protein-coupled receptor 26"	Q8NDV2	10	123666355-123697399	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	9	"brain: 2.8"	"Group enriched"	"Detected in some"	6	"Excitatory neurons: 11.0;Horizontal cells: 8.2"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in single"	9	"Breast Invasive Carcinoma (TCGA): 1.1"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Low region specificity"	"Detected in many"			"Region enhanced"	"Detected in all"		"cerebral cortex: 81.5"	HPA062736	Enhanced						NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 1: Neurons - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 34: Neurons - Neuronal signaling"				"HPA062736: AB_2684855"		"unprognostic (7.66e-2)"	"unprognostic (2.47e-1)"					"unprognostic (2.42e-2)"																							
GPR45	"PSP24, PSP24A"	ENSG00000135973	"G protein-coupled receptor 45"	Q9Y5Y3	2	105241743-105243467	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.1"	"Group enriched"	"Detected in some"	24	"Early spermatids: 3.5;Late spermatids: 7.1"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Kidney cancer: 2.0"	"Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA055940	Uncertain						NA	NA				"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 1: Neurons - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 36: Late spermatids - Unknown function"	197			"HPA055940: AB_2682977"								"potential prognostic favorable (2.56e-4)"																							
GPR52		ENSG00000203737	"G protein-coupled receptor 52"	Q9Y2T5	1	174447964-174449545	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	8	"brain: 5.0"	"Cell type enhanced"	"Detected in some"		"Cone photoreceptor cells: 1.7;Horizontal cells: 1.9;Rod photoreceptor cells: 1.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Region enriched"	"Detected in many"	6	"basal ganglia: 103.8"	"Region enhanced"	"Detected in all"		"basal ganglia: 42.0"								NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 33: Neurons - Mixed function"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 66: Photoreceptor cells - Visual perception"	4									"unprognostic (1.04e-1)"		"unprognostic (1.46e-2)"															"unprognostic (1.69e-2)"			"unprognostic (2.45e-3)"					
GRID2IP		ENSG00000215045	"Grid2 interacting protein"	A4D2P6	7	6496778-6551461	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.4"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 1.9;Collecting duct cells: 1.9;Excitatory neurons: 2.7;Inhibitory neurons: 2.8;Oligodendrocyte precursor cells: 4.2;Rod photoreceptor cells: 1.9"	"Cell type enriched"	"Detected in many"	5	"thalamic excitatory: 60.1"	"Low cancer specificity"	"Detected in single"			"Region enhanced"	"Detected in all"		"thalamus: 72.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Leukemia: 2.5"	"Adrenal gland - Adrenal cortex cells, Skin - Keratinocyte (other)"	"Group enriched"	"Detected in many"	5	"cerebellum: 22.4;thalamus: 7.2"	"Low region specificity"	"Detected in all"			HPA045381			Approved	"Plasma membrane"			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 69: Neurons - Neuronal signaling"	1	"Plasma membrane"		"HPA045381: AB_10962495"			"unprognostic (2.44e-1)"			"unprognostic (1.45e-1)"																				"unprognostic (1.15e-1)"			"unprognostic (1.48e-1)"		
GRIN2B	"GluN2B, NMDAR2B"	ENSG00000273079	"Glutamate ionotropic receptor NMDA type subunit 2B"	Q13224	12	13437942-13982002	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins"	"Ion transport, Transport"	"Ion channel, Ligand-gated ion channel, Receptor"	"Disease variant, Epilepsy, FDA approved drug targets, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	17	"brain: 7.1"	"Group enriched"	"Detected in some"	4	"Excitatory neurons: 604.2;Inhibitory neurons: 845.7"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in some"		"Colon Adenocarcinoma (TCGA): 1.1;Rectum Adenocarcinoma (TCGA): 1.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"colorectal cancer: 1.5"	"Liver - Hepatocytes, Pituitary gland - Undifferentiated cells (Pituitary gland), Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA069762	Approved						NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 65: Neurons - Synaptic function"	26			"HPA069762: AB_2686192"					"unprognostic (1.63e-1)"	"unprognostic (5.01e-2)"		"unprognostic (9.12e-2)"																	"unprognostic (5.18e-2)"	"unprognostic (1.15e-1)"					
GRM2	"GPRC1B, mGlu2, MGLUR2"	ENSG00000164082	"Glutamate metabotropic receptor 2"	Q14416	3	51707068-51718613	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	7	"brain: 4.2"	"Cell type enhanced"	"Detected in some"		"Cone photoreceptor cells: 3.4;Excitatory neurons: 15.6;Horizontal cells: 7.6;Rod photoreceptor cells: 3.5;Spermatocytes: 3.2"	"Cell type enhanced"	"Detected in many"		"hippocampal dentate gyrus: 33.9"	"Cancer enriched"	"Detected in single"	5	"Testicular Germ Cell Tumor (TCGA): 1.4"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	5	"Bone cancer: 2.8"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA027868, HPA065166"	Approved	Supported					NA	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 24: Neurons - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"	25			"HPA027868: , HPA065166: AB_2685425"			"unprognostic (5.75e-1)"																										"unprognostic (1.68e-1)"		
GRM4	"GPRC1D, mGlu4, MGLUR4"	ENSG00000124493	"Glutamate metabotropic receptor 4"	Q14833	6	34018643-34155622	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	331	"brain: 276.8"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 9.1;Horizontal cells: 19.5;Inhibitory neurons: 10.4;Late spermatids: 3.5;Spermatogonia: 4.7"	"Cell type enhanced"	"Detected in many"		"deep-layer near-projecting: 165.8;upper rhombic lip: 493.8"	"Cancer enhanced"	"Detected in some"		"Testicular Germ Cell Tumor (TCGA): 7.5"	"Region enriched"	"Detected in all"	7	"cerebellum: 171.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"lung cancer: 1.3"	"Pancreas - Alpha cells, Pancreas - Beta cells"	"Region enhanced"	"Detected in all"		"cerebellum: 79.1"	"Region enriched"	"Detected in all"	5	"cerebellum: 178.6"	CAB022096	Enhanced						NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 35: Non-specific - DNA binding"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 69: Neurons - Neuronal signaling"				"CAB022096: "		"unprognostic (1.65e-1)"	"unprognostic (3.22e-1)"												"unprognostic (4.67e-1)"					"unprognostic (3.81e-2)"									"unprognostic (1.05e-1)"	"unprognostic (9.01e-2)"	
GSX1	"Gsh-1, GSH1"	ENSG00000169840	"GS homeobox 1"	Q9H4S2	13	27792483-27794768	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	24	"brain: 2.4"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	35	"Glioblastoma Multiforme (TCGA): 6.2"	"Region enriched"	"Detected in single"	19	"hypothalamus: 15.6"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in single"			HPA047096			Approved	"Nucleoplasm,Golgi apparatus,Cytosol"			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 14: Myeloid leukemia - Innate immune response"		1	"Golgi apparatus"	"Nucleoplasm, Cytosol"	"HPA047096: AB_2679929"							"unprognostic (2.17e-1)"	"unprognostic (1.97e-2)"																							
HCRT	"OX, PPOX"	ENSG00000161610	"Hypocretin neuropeptide precursor"	O43612	17	42184060-42185452	"Disease related genes, Human disease related genes, Predicted secreted proteins"		Neuropeptide	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	1531	"brain: 441.9"	"Cell type enhanced"	"Detected in some"		"B-cells: 1.5;Collecting duct cells: 1.9;Enteroendocrine cells: 1.9;Kupffer cells: 3.3;Oligodendrocyte precursor cells: 1.9;Pancreatic endocrine cells: 1.7"	"Cell type enhanced"	"Detected in many"		"splatter: 6.7"	"Not detected"	"Not detected"			"Region enriched"	"Detected in many"	8	"hypothalamus: 901.9"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Region enriched"	"Detected in some"	5	"hypothalamus: 93.4"	"Region enriched"	"Detected in some"	60	"hypothalamus: 146.5"	"HPA064801, CAB079778"	Enhanced	Supported			"Secreted to blood"	Neuropeptide	NA	NA			"Cluster 32: Basophils - Transcription"	"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 7: T-cells - T-cell receptor"	1			"CAB079778: , HPA064801: "																															
HMX3	NKX5-1	ENSG00000188620	"H6 family homeobox 3"	A6NHT5	10	123135970-123139423	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.7"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in many"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in some"		"cervical cancer: 4.0;Leukemia: 5.8"	"Colon - Colon enteroendocrine cells, Pituitary gland - Lactotropes"	"Region enriched"	"Detected in single"	4	"hypothalamus: 1.1"	"Group enriched"	"Detected in some"	5	"basal ganglia: 2.2;hypothalamus: 6.7"	HPA069659			Approved	"Nucleoplasm,Centriolar satellite"			Yes	No				"Cluster 25: Small intestine - Absorption"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 24: Non-specific - Unknown function"	"Cluster 48: Smooth muscle cells - Signal transduction"	1	Nucleoplasm	"Centriolar satellite"	"HPA069659: AB_2686165"						"unprognostic (6.17e-2)"																"unprognostic (5.79e-2)"	"unprognostic (1.39e-1)"								"unprognostic (4.93e-2)"
HTR3B	5-HT3B	ENSG00000149305	"5-hydroxytryptamine receptor 3B"	O95264	11	113904796-113949079	"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Ion channel, Ligand-gated ion channel, Receptor"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.1"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 4.3;Melanocytes: 1.7;Rod photoreceptor cells: 1.6;Sertoli cells: 2.7"	"Cell type enhanced"	"Detected in some"		"deep-layer intratelencephalic: 6.5;upper-layer intratelencephalic: 20.8"	"Cancer enhanced"	"Detected in single"		"Kidney Chromophobe (TCGA): 1.6"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Cancer enriched"	"Detected in single"	8	"Neuroblastoma: 2.9"	"Colon - Colon enteroendocrine cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA039559	Approved						NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 61: Brain - Neuronal signaling"	"Cluster 53: Neurons - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"	1			"HPA039559: AB_10672779"						"unprognostic (6.23e-2)"				"unprognostic (3.64e-2)"																"unprognostic (2.59e-2)"					
HTR5A	5-HT5A	ENSG00000157219	"5-hydroxytryptamine receptor 5A"	P47898	7	155070324-155087392	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in single"	19	"brain: 15.2"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 10.8;Excitatory neurons: 7.3;Inhibitory neurons: 9.6;Late spermatids: 12.2;Sertoli cells: 2.7"	"Low cell type specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Colon - Colon enteroendocrine cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid gland - Parafollicular cells"	"Low region specificity"	"Detected in all"							CAB017467	Approved						NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 2: Neurons - Nucleosome"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 69: Neurons - Neuronal signaling"				"CAB017467: AB_2122566"								"unprognostic (4.73e-2)"																							
HTR6	"5-HT6, 5-HT6R"	ENSG00000158748	"5-hydroxytryptamine receptor 6"	P50406	1	19664875-19680966	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	6	"brain: 3.4"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 1.6;Spermatogonia: 1.1"	"Cell type enhanced"	"Detected in many"		"medium spiny neuron: 15.5"	"Cancer enhanced"	"Detected in single"		"Kidney Renal Clear Cell Carcinoma (TCGA): 2.3"	"Region enhanced"	"Detected in many"		"basal ganglia: 22.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bone cancer: 2.0;Rhabdoid: 3.2"		"Low region specificity"	"Detected in many"							HPA068165	Uncertain						NA	NA			"Cluster 11: T-cells - Unknown function"	"Cluster 33: Brain - Neuronal signaling"	"Cluster 33: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	12			"HPA068165: "											"unprognostic (7.33e-2)"	"unprognostic (1.62e-1)"																			
IL1RAPL1	"IL1R8, IL1RAPL, MRX10, MRX21, MRX34, OPHN4, TIGIRR-2"	ENSG00000169306	"Interleukin 1 receptor accessory protein like 1"	Q9NZN1	X	28587446-29956718	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins"		"Hydrolase, Receptor"	"Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	5	"brain: 3.0"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 1271.6;Inhibitory neurons: 2492.1;Oligodendrocyte precursor cells: 1833.8;Oligodendrocytes: 5976.8"	"Cell type enhanced"	"Detected in all"		"oligodendrocyte: 9661.2"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	5	"skin cancer: 7.7"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 11: White matter - Signal transduction"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 65: Neurons - Synaptic function"	2											"potential prognostic favorable (5.03e-6)"																							
KANTR	"LINC01155, Spasm"	ENSG00000232593	"KANTR integral membrane protein"		X	53094142-53170914	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enriched"	"Detected in single"	7	"brain: 5.1"	"Cell type enhanced"	"Detected in many"		"Horizontal cells: 37.1;Rod photoreceptor cells: 51.9"	"Low cell type specificity"	"Detected in all"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 1: Neurons - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 55: Non-specific - Transcription"												"unprognostic (8.76e-3)"															"unprognostic (3.47e-3)"								
